hour amb tz_v3 tz_v35 tz_hy ts_v3 ts_v35 ts_hy p_v3 p_v35 p_hy
30.0 -7.649999999999977 22.6372734496739 25.950733573653565 22.493074011436192 26.64431055635214 35.0 26.462635844945908 2.0185733545545164 3.3465216639878057 1.8982892954585504
30.25 -7.574999999999989 22.52404966334501 18.202823348179436 22.444102792808224 26.466121207922697 18.0 26.4468903131783 2.0014406690875095 0.21050193837984424 1.9013448840744969
30.5 -7.5 22.4449632239764 25.89112330877674 22.42086590468432 26.303180852904916 35.0 26.425174225121737 1.9723259577527097 3.3668864522650974 1.8893734593180278
30.75 -7.425000000000011 22.396993503846147 18.223439641677658 22.42494011148119 26.05995869077742 18.0 26.309002678841352 1.8843032273193645 0.2143099511223437 1.8177760942658825
31.0 -7.350000000000023 22.334465971576662 26.091789688203335 22.426780365741763 25.760202180594206 35.0 26.18370946869254 1.7847614053300562 3.3039761381129886 1.7365864394054695
31.25 -7.274999999999977 22.22436242531171 18.2956169944747 22.37849990987354 25.457787364721298 18.0 26.051100162789226 1.704196554441834 0.227640084611585 1.6715018558445183
31.5 -7.199999999999989 22.108193786321465 26.169434207541258 22.308146950854734 25.234837368130684 35.0 25.964440904557705 1.6583538865401575 3.2783089092401223 1.6350503892240429
31.75 -7.09375 22.506281598190355 18.732129587945337 22.776197324461293 25.00145895779133 18.0 25.808348447084427 1.3407978078531793 0.30837043189107 1.3417784806734099
32.0 -6.949999999999989 22.102371679560065 26.699372157440223 22.53044405788546 24.165762200951576 35.0 25.312281772494316 1.1377176143560062 2.99173961758152 1.1801815844408987
32.25 -6.806249999999977 22.034662356425088 18.794247434422402 22.543126400804567 24.045648112893105 18.0 25.46092441305518 1.0930662521404766 0.31986486255995145 1.1527700271255499
32.5 -6.699999999999989 21.97468392791052 26.58163832891688 22.53362412442806 23.955328479409218 35.0 25.539876386523247 1.058500509648122 2.863452022781 1.1273967440640973
32.75 -6.625 21.91252480003078 18.805626840806497 22.49991802315475 23.883785158395767 18.0 25.5920322611928 1.034569317347872 0.3219831971982151 1.106462170827936
33.0 -6.550000000000011 21.881643796530398 26.543019639413842 22.486198551600353 23.878443405032158 35.0 25.701515533030033 1.0300779621568636 2.8457382737720796 1.1037663335885435
